Topic 0,Topic 1,label
0.015890473,0.9841095,neutral
0.014754236,0.98524576,positive
0.01630122,0.9836987,positive
0.025840206,0.9741598,neutral
0.02132166,0.97867835,negative
0.404627,0.595373,neutral
0.012406573,0.9875934,neutral
0.17199157,0.8280084,positive
0.9174266,0.08257339,neutral
0.045466457,0.9545335,positive
0.018810486,0.9811895,negative
0.045246735,0.9547533,positive
0.039346658,0.96065336,neutral
0.056605946,0.943394,neutral
0.040789977,0.95921,neutral
0.073357835,0.9266422,positive
0.0192947,0.9807053,neutral
0.122677855,0.87732214,positive
0.5240958,0.4759042,negative
0.014846037,0.9851539,neutral
0.16891459,0.83108544,neutral
0.050981205,0.94901884,positive
0.93932724,0.060672794,neutral
0.4343238,0.5656762,neutral
0.18849629,0.8115037,positive
0.10919746,0.89080256,negative
0.032749157,0.9672508,negative
0.5356374,0.46436262,neutral
0.021902282,0.97809774,neutral
0.4809283,0.5190717,neutral
0.027015079,0.9729849,negative
0.09053019,0.9094698,positive
0.6209643,0.37903574,neutral
0.30378133,0.6962187,neutral
0.02640789,0.9735921,neutral
0.12088412,0.87911594,negative
0.3293166,0.6706834,positive
0.054392215,0.9456078,neutral
0.04100181,0.9589982,positive
0.3425822,0.65741783,neutral
0.96470594,0.03529407,neutral
0.09323646,0.90676355,neutral
0.03724736,0.96275264,neutral
0.053024705,0.9469753,neutral
0.34447148,0.65552855,positive
0.5241285,0.47587156,neutral
0.04831636,0.95168364,neutral
0.2665127,0.7334873,neutral
0.026542298,0.97345763,negative
0.062388867,0.9376111,neutral
0.17144151,0.8285585,neutral
0.0903034,0.9096966,positive
0.22867717,0.7713228,neutral
0.05052713,0.94947284,neutral
0.015633289,0.9843667,neutral
0.04129052,0.9587095,neutral
0.11562373,0.8843762,negative
0.97893465,0.021065345,neutral
0.3094185,0.69058144,neutral
0.0260017,0.9739983,positive
0.9393252,0.060674794,neutral
0.17692423,0.8230758,negative
0.07702179,0.9229782,neutral
0.09067317,0.90932685,positive
0.397504,0.60249597,neutral
0.082970396,0.91702956,negative
0.95746845,0.04253155,neutral
0.5,0.5,neutral
0.114383034,0.88561696,neutral
0.034704026,0.96529603,neutral
0.80268514,0.19731489,neutral
0.4209252,0.57907474,positive
0.026080808,0.9739192,negative
0.01664256,0.9833575,positive
0.23832339,0.7616766,positive
0.81316805,0.18683192,positive
0.014454916,0.9855451,neutral
0.033495903,0.9665041,positive
0.9198078,0.0801922,neutral
0.11575294,0.884247,neutral
0.01830647,0.9816935,positive
0.10646268,0.89353734,neutral
0.5259699,0.47403008,neutral
0.056394413,0.9436056,neutral
0.06404003,0.93596,positive
0.15504251,0.84495753,neutral
0.28509194,0.71490806,positive
0.017912008,0.98208797,negative
0.90985864,0.09014135,neutral
0.02482784,0.97517216,positive
0.02458926,0.9754107,negative
0.47042704,0.52957296,positive
0.7579266,0.24207337,neutral
0.0982517,0.9017483,positive
0.982109,0.017891059,neutral
0.7362357,0.26376432,neutral
0.061722208,0.93827784,neutral
0.9066074,0.0933926,neutral
0.9471019,0.052898068,negative
0.02216924,0.97783077,neutral
0.016403085,0.9835969,neutral
0.14116852,0.8588314,positive
0.04492137,0.9550786,positive
0.033344097,0.9666559,neutral
0.012637969,0.987362,negative
0.11558994,0.8844101,positive
0.41962466,0.5803753,positive
0.074128896,0.92587113,neutral
0.018677555,0.9813224,neutral
0.09067296,0.909327,negative
0.019975366,0.98002464,neutral
0.0812513,0.9187487,positive
0.015096534,0.9849035,negative
0.4109124,0.58908755,positive
0.10068732,0.8993127,positive
0.01688134,0.9831187,positive
0.05834423,0.94165576,positive
0.5886769,0.411323,positive
0.045152567,0.95484746,neutral
0.015268088,0.98473185,negative
0.02284431,0.9771557,neutral
0.23393382,0.76606613,neutral
0.5,0.5,neutral
0.6096558,0.39034417,positive
0.2712093,0.7287907,neutral
0.025773326,0.97422665,positive
0.9393252,0.060674742,neutral
0.03861448,0.96138555,neutral
0.05312827,0.94687176,neutral
0.75746036,0.24253964,positive
0.06351828,0.9364818,positive
0.4959996,0.5040004,neutral
0.32501358,0.6749865,positive
0.3773436,0.6226564,positive
0.059061095,0.94093895,neutral
0.07755021,0.9224498,neutral
0.96364933,0.03635068,neutral
0.05872761,0.9412724,positive
0.015696226,0.9843037,neutral
0.5687967,0.43120337,neutral
0.014611267,0.9853887,positive
0.05469255,0.94530743,neutral
0.01618076,0.9838192,positive
0.20509571,0.79490435,positive
0.57529527,0.42470467,neutral
0.020216508,0.9797835,positive
0.16748525,0.8325147,neutral
0.27040595,0.72959405,neutral
0.045545936,0.95445406,neutral
0.091415204,0.90858483,positive
0.014524448,0.9854756,positive
0.02541882,0.9745812,neutral
0.06809597,0.9319041,negative
0.047851175,0.95214885,neutral
0.9328272,0.067172855,neutral
0.011642789,0.98835725,positive
0.6495782,0.35042176,positive
0.80808204,0.19191796,neutral
0.9198291,0.08017093,neutral
0.499355,0.500645,negative
0.020227723,0.9797722,neutral
0.031908523,0.9680915,neutral
0.27569366,0.7243063,neutral
0.033743884,0.9662561,positive
0.016445648,0.98355436,positive
0.48787603,0.512124,neutral
0.27595982,0.7240402,neutral
0.013948507,0.98605144,neutral
0.016892819,0.98310715,neutral
0.012666228,0.9873338,neutral
0.012465589,0.9875344,positive
0.025872706,0.9741273,neutral
0.8036944,0.19630562,neutral
0.021286871,0.97871315,neutral
0.04197906,0.9580209,neutral
0.015478442,0.98452157,neutral
0.01677339,0.98322666,neutral
0.9573084,0.042691577,neutral
0.016722212,0.9832778,neutral
0.8311897,0.16881026,neutral
0.06709694,0.93290305,neutral
0.02318905,0.97681093,negative
0.25247034,0.7475296,neutral
0.9118915,0.0881085,positive
0.3390593,0.6609407,neutral
0.7292329,0.27076706,positive
0.9470748,0.05292523,neutral
0.07360927,0.9263907,negative
0.031132462,0.96886754,neutral
0.37457767,0.62542236,neutral
0.6660758,0.33392414,neutral
0.35961893,0.6403811,positive
0.0329275,0.9670725,neutral
0.65389895,0.34610108,neutral
0.2948725,0.7051275,positive
0.0387044,0.9612956,neutral
0.36148494,0.6385151,positive
0.014500624,0.9854993,positive
0.028775826,0.9712242,positive
0.05225568,0.9477443,neutral
0.013203156,0.98679686,positive
0.78401184,0.21598819,neutral
0.027719902,0.9722801,positive
0.23578244,0.76421756,neutral
0.8995054,0.10049462,positive
0.5566072,0.44339278,neutral
0.041658025,0.958342,neutral
0.23278303,0.7672169,neutral
0.3764246,0.6235754,positive
0.982113,0.01788699,neutral
0.73506474,0.26493526,neutral
0.78814715,0.21185283,neutral
0.01942303,0.980577,positive
0.62324125,0.37675884,positive
0.01116427,0.98883575,neutral
0.057374116,0.94262594,neutral
0.5,0.5,neutral
0.10079494,0.8992051,positive
0.01301531,0.98698467,neutral
0.4868823,0.5131177,neutral
0.9256736,0.07432639,neutral
0.14018768,0.8598123,positive
0.049988948,0.950011,positive
0.013049472,0.9869506,positive
0.22263327,0.77736676,neutral
0.04056538,0.95943457,negative
0.017865185,0.9821348,neutral
0.32907787,0.67092216,positive
0.05468162,0.94531834,negative
0.93164957,0.06835038,neutral
0.9673038,0.032696176,positive
0.102931276,0.89706874,neutral
0.8140956,0.18590435,neutral
0.5248174,0.47518253,neutral
0.013953017,0.9860469,neutral
0.05947201,0.940528,positive
0.6057625,0.39423758,positive
0.03207349,0.9679265,positive
0.017150406,0.98284954,neutral
